        204 -0.348437D+01  0.444141D-02 -0.765034D-02
        205 -0.348926D+01  0.442003D-02 -0.761995D-02
        206 -0.349415D+01  0.439888D-02 -0.758991D-02
        207 -0.349904D+01  0.437807D-02 -0.756022D-02
        208 -0.350393D+01  0.435738D-02 -0.753084D-02
        209 -0.350882D+01  0.433691D-02 -0.750179D-02
        210 -0.351370D+01  0.431666D-02 -0.747305D-02
        211 -0.351859D+01  0.429662D-02 -0.744463D-02
        212 -0.352347D+01  0.427679D-02 -0.741652D-02
        213 -0.352835D+01  0.425717D-02 -0.738871D-02
        214 -0.353323D+01  0.423776D-02 -0.736121D-02
        215 -0.353812D+01  0.421855D-02 -0.733400D-02
        216 -0.354299D+01  0.419955D-02 -0.730708D-02
        217 -0.354787D+01  0.418074D-02 -0.728046D-02
        218 -0.355275D+01  0.416213D-02 -0.725411D-02
        219 -0.355763D+01  0.414371D-02 -0.722805D-02
        220 -0.356250D+01  0.412548D-02 -0.720226D-02
        221 -0.356738D+01  0.410743D-02 -0.717674D-02
        222 -0.357225D+01  0.408958D-02 -0.715148D-02
        223 -0.357712D+01  0.407191D-02 -0.712650D-02
        224 -0.358199D+01  0.405442D-02 -0.710177D-02
        225 -0.358686D+01  0.403710D-02 -0.707729D-02
        226 -0.359173D+01  0.401997D-02 -0.705307D-02
        227 -0.359659D+01  0.400300D-02 -0.702910D-02
        228 -0.360146D+01  0.398631D-02 -0.700539D-02
        229 -0.360633D+01  0.396970D-02 -0.698190D-02
        230 -0.361119D+01  0.395326D-02 -0.695866D-02
        231 -0.361605D+01  0.393698D-02 -0.693564D-02
        232 -0.362091D+01  0.392087D-02 -0.691286D-02
        233 -0.362577D+01  0.390493D-02 -0.689031D-02
        234 -0.363062D+01  0.388914D-02 -0.686798D-02
        235 -0.363548D+01  0.387352D-02 -0.684587D-02
        236 -0.364033D+01  0.385805D-02 -0.682398D-02
        237 -0.364518D+01  0.384273D-02 -0.680231D-02
        238 -0.365003D+01  0.382757D-02 -0.678085D-02
        239 -0.365488D+01  0.381256D-02 -0.675960D-02
        240 -0.365973D+01  0.379770D-02 -0.673856D-02
        241 -0.366457D+01  0.378298D-02 -0.671772D-02
        242 -0.366941D+01  0.376841D-02 -0.669708D-02
        243 -0.367426D+01  0.375399D-02 -0.667664D-02
        244 -0.367910D+01  0.373971D-02 -0.665640D-02
        245 -0.368393D+01  0.372556D-02 -0.663635D-02
        246 -0.368877D+01  0.371156D-02 -0.661649D-02
        247 -0.369360D+01  0.369769D-02 -0.659682D-02
        248 -0.369844D+01  0.368403D-02 -0.657734D-02
        249 -0.370327D+01  0.367044D-02 -0.655804D-02
        250 -0.370810D+01  0.365698D-02 -0.653892D-02
