Atmospheric tide model: Ray-Ponte, 2003                                                      
normalized model (mbar), no Doodson convention applied                                       
Doodson Darw  l   m    Csin+     Ccos+       Csin-     Ccos-       C+   eps+      C-   eps-  
164.555  S1  12   3  0.004904 -0.001477   -0.003326 -0.004366   0.0051 106.760 0.0055 217.300
164.555  S1  12   4  0.001375 -0.000658   -0.000572  0.001188   0.0015 115.572 0.0013 334.314
164.555  S1  12   5  0.003206 -0.004671   -0.003659  0.005434   0.0056 145.531 0.0065 326.045
164.555  S1  12   6 -0.006663  0.004934   -0.001916 -0.000145   0.0083 306.524 0.0019 265.685
164.555  S1  12   7  0.000763 -0.000410    0.002068 -0.000470   0.0009 118.216 0.0021 102.795
164.555  S1  12   8  0.002072  0.001559    0.003168 -0.003529   0.0026  53.040 0.0047 138.080
164.555  S1  12   9  0.002046 -0.000755    0.005538  0.002633   0.0022 110.258 0.0061  64.570
164.555  S1  12  10 -0.007335 -0.003718   -0.002170 -0.004598   0.0082 243.120 0.0051 205.264
164.555  S1  12  11  0.008188  0.000203   -0.008380  0.000699   0.0082  88.583 0.0084 274.772
164.555  S1  12  12  0.000816  0.000642   -0.002645  0.005422   0.0010  51.774 0.0060 334.003
164.555  S1  13   0 -0.001514 -0.005435    0.000000  0.000000   0.0056 195.566 0.0000   0.000
164.555  S1  13   1  0.006282 -0.002406   -0.001232  0.000072   0.0067 110.954 0.0012 273.373
164.555  S1  13   2  0.000987 -0.000413   -0.001317  0.001910   0.0011 112.708 0.0023 325.397
164.555  S1  13   3  0.006182 -0.002234    0.006573  0.000405   0.0065 109.867 0.0066  86.480
164.555  S1  13   4  0.003624  0.004856   -0.001014  0.002937   0.0060  36.733 0.0031 340.958
164.555  S1  13   5  0.001135 -0.000436   -0.001065 -0.000049   0.0012 111.040 0.0011 267.360
164.555  S1  13   6 -0.001341  0.003134   -0.001090  0.001036   0.0034 336.829 0.0015 313.538
164.555  S1  13   7 -0.001919 -0.000574    0.000829 -0.002706   0.0020 253.348 0.0028 162.970
164.555  S1  13   8 -0.005519 -0.000246   -0.004784 -0.002671   0.0055 267.452 0.0055 240.825
164.555  S1  13   9 -0.003777  0.008188    0.002296 -0.007158   0.0090 335.238 0.0075 162.214
164.555  S1  13  10  0.001618  0.001481   -0.001487  0.004839   0.0022  47.546 0.0050 342.919
164.555  S1  13  11 -0.000556 -0.001151    0.002454  0.005417   0.0013 205.812 0.0059  24.371
164.555  S1  13  12  0.001336 -0.002692   -0.000688  0.003747   0.0030 153.613 0.0038 349.588
164.555  S1  13  13 -0.004716 -0.001787   -0.005090 -0.000692   0.0050 249.246 0.0051 262.259
164.555  S1  14   0 -0.000803  0.003202    0.000000  0.000000   0.0033 345.930 0.0000   0.000
164.555  S1  14   1 -0.003274 -0.001915   -0.001601 -0.005308   0.0038 239.677 0.0055 196.792
164.555  S1  14   2 -0.000433  0.007802   -0.000716 -0.000103   0.0078 356.826 0.0007 261.745
164.555  S1  14   3 -0.002090 -0.003173    0.003830  0.000597   0.0038 213.377 0.0039  81.153
164.555  S1  14   4  0.000704 -0.002075    0.001869 -0.000648   0.0022 161.259 0.0020 109.107
164.555  S1  14   5 -0.002434  0.000329    0.004328 -0.003575   0.0024 277.708 0.0056 129.554
164.555  S1  14   6  0.001178 -0.000682   -0.001471  0.001584   0.0014 120.085 0.0022 317.134
164.555  S1  14   7  0.000984  0.000336   -0.001648 -0.001737   0.0010  71.173 0.0024 223.504
164.555  S1  14   8 -0.001456 -0.003356   -0.000840 -0.003222   0.0036 203.440 0.0033 194.599
164.555  S1  14   9 -0.001570  0.000438   -0.006377 -0.001045   0.0016 285.601 0.0064 260.693
164.555  S1  14  10  0.002054  0.004883    0.001224 -0.001891   0.0053  22.817 0.0022 147.080
164.555  S1  14  11  0.001547 -0.005001   -0.004182  0.002750   0.0052 162.816 0.0050 303.338
164.555  S1  14  12  0.001584 -0.001141    0.004973  0.004958   0.0019 125.771 0.0070  45.090
164.555  S1  14  13 -0.004064  0.001053    0.006587  0.000071   0.0042 284.522 0.0066  89.376
164.555  S1  14  14 -0.005190 -0.000834    0.000829 -0.002863   0.0052 260.872 0.0030 163.859
164.555  S1  15   0  0.000548  0.004366    0.000000  0.000000   0.0044   7.162 0.0000   0.000
164.555  S1  15   1 -0.005151  0.003066    0.001744  0.000026   0.0060 300.759 0.0017  89.138
164.555  S1  15   2  0.004082  0.000745   -0.003080  0.000562   0.0041  79.654 0.0031 280.329
164.555  S1  15   3 -0.003378  0.000401   -0.002478 -0.000729   0.0034 276.761 0.0026 253.599
164.555  S1  15   4  0.001924 -0.002336    0.001983 -0.002168   0.0030 140.531 0.0029 137.552
164.555  S1  15   5 -0.000627 -0.002704    0.000651  0.001740   0.0028 193.045 0.0018  20.522
164.555  S1  15   6 -0.002316 -0.001363    0.002413 -0.001476   0.0027 239.520 0.0028 121.447
164.555  S1  15   7  0.002142  0.002725   -0.000536  0.001576   0.0035  38.163 0.0017 341.197
164.555  S1  15   8  0.001495 -0.000799    0.001564 -0.000015   0.0017 118.102 0.0016  90.534
164.555  S1  15   9  0.000360 -0.003678   -0.004345  0.001825   0.0037 174.420 0.0047 292.778
164.555  S1  15  10 -0.000665  0.000715   -0.002341 -0.002682   0.0010 317.092 0.0035 221.120
164.555  S1  15  11  0.003522  0.001964    0.004870 -0.000450   0.0040  60.860 0.0049  95.286
164.555  S1  15  12  0.000770 -0.001467   -0.000678 -0.004141   0.0016 152.297 0.0042 189.305
164.555  S1  15  13  0.002180 -0.002553    0.000186  0.000089   0.0033 139.515 0.0002  64.214
164.555  S1  15  14 -0.000183 -0.001448   -0.001579  0.000328   0.0015 187.182 0.0016 281.763
164.555  S1  15  15 -0.002555  0.001153   -0.000210 -0.002283   0.0028 294.298 0.0023 185.262
164.555  S1  16   0 -0.000546 -0.005653    0.000000  0.000000   0.0057 185.517 0.0000   0.000
164.555  S1  16   1  0.003185  0.002253    0.001411  0.004596   0.0039  54.733 0.0048  17.068
164.555  S1  16   2  0.003395 -0.005491   -0.000131 -0.002345   0.0064 148.267 0.0023 183.181
164.555  S1  16   3  0.001393  0.003291   -0.002799  0.001465   0.0036  22.945 0.0031 297.626
164.555  S1  16   4  0.000592 -0.000647   -0.001035 -0.000617   0.0009 137.576 0.0012 239.219
164.555  S1  16   5 -0.001322  0.002237   -0.006533  0.002380   0.0026 329.420 0.0069 290.011
164.555  S1  16   6 -0.001509  0.000421    0.000930 -0.001913   0.0016 285.590 0.0021 154.054
164.555  S1  16   7  0.000978  0.000873   -0.000206  0.003425   0.0013  48.273 0.0034 356.566
164.555  S1  16   8 -0.001108  0.001081   -0.001227  0.002991   0.0015 314.297 0.0032 337.686
164.555  S1  16   9 -0.002744  0.001465    0.002295  0.003595   0.0031 298.089 0.0042  32.552
164.555  S1  16  10  0.000604 -0.000119    0.001574  0.003621   0.0006 101.078 0.0039  23.500
164.555  S1  16  11 -0.003808 -0.004240    0.002254 -0.000836   0.0057 221.931 0.0024 110.348
164.555  S1  16  12 -0.001558 -0.001033    0.000801 -0.004106   0.0019 236.471 0.0042 168.971
164.555  S1  16  13 -0.005525  0.003114    0.001105 -0.008903   0.0063 299.406 0.0089 172.927
164.555  S1  16  14  0.002767 -0.003299   -0.001996 -0.003423   0.0043 140.008 0.0039 210.240
164.555  S1  16  15  0.005566 -0.003593   -0.003381  0.004219   0.0066 122.846 0.0054 321.286
164.555  S1  16  16  0.000832  0.004514    0.003602  0.001244   0.0046  10.437 0.0038  70.956
164.555  S1  17   0  0.000028 -0.005525    0.000000  0.000000   0.0055 179.704 0.0000   0.000
164.555  S1  17   1  0.001089 -0.001616   -0.000604  0.000982   0.0019 146.039 0.0011 328.419
164.555  S1  17   2 -0.002848 -0.002194    0.005018 -0.002891   0.0036 232.388 0.0058 119.947
164.555  S1  17   3  0.000064 -0.000475   -0.000378  0.001857   0.0005 172.302 0.0019 348.507
164.555  S1  17   4 -0.003908 -0.000920   -0.001345 -0.001376   0.0040 256.743 0.0019 224.332
164.555  S1  17   5 -0.000376  0.001182   -0.002990  0.001756   0.0012 342.361 0.0035 300.418
164.555  S1  17   6 -0.000444  0.000075   -0.003903 -0.001741   0.0004 279.618 0.0043 245.960
164.555  S1  17   7 -0.001021 -0.001678   -0.000322 -0.001556   0.0020 211.327 0.0016 191.695
164.555  S1  17   8 -0.000523  0.000496   -0.001017 -0.000249   0.0007 313.492 0.0010 256.257
164.555  S1  17   9 -0.002552 -0.000998   -0.001034 -0.000257   0.0027 248.637 0.0011 256.008
164.555  S1  17  10 -0.000895  0.000264   -0.000766  0.003145   0.0009 286.480 0.0032 346.299
164.555  S1  17  11  0.001839 -0.002870   -0.000591  0.002352   0.0034 147.341 0.0024 345.899
164.555  S1  17  12 -0.000737  0.001278    0.003976  0.000915   0.0015 330.003 0.0041  77.041
164.555  S1  17  13  0.003368 -0.000860   -0.002118  0.002864   0.0035 104.315 0.0035 323.513
164.555  S1  17  14  0.000285  0.001275   -0.000526  0.000748   0.0013  12.608 0.0009 324.874
164.555  S1  17  15  0.004115 -0.006656   -0.001572 -0.005128   0.0078 148.272 0.0053 197.039
164.555  S1  17  16  0.001717 -0.000966   -0.003973  0.000197   0.0020 119.380 0.0040 272.831
164.555  S1  17  17  0.001603  0.002819    0.002786 -0.001142   0.0032  29.626 0.0030 112.283
164.555  S1  18   0  0.001759 -0.002963    0.000000  0.000000   0.0034 149.300 0.0000   0.000
164.555  S1  18   1 -0.001893  0.000876   -0.002007 -0.002492   0.0021 294.827 0.0032 218.838
164.555  S1  18   2 -0.002149  0.002891   -0.000531  0.002948   0.0036 323.383 0.0030 349.783
164.555  S1  18   3 -0.000686 -0.002577    0.002082 -0.000194   0.0027 194.920 0.0021  95.310
164.555  S1  18   4 -0.000203  0.001318    0.000620 -0.000993   0.0013 351.250 0.0012 148.045
164.555  S1  18   5 -0.000519 -0.001915    0.001716 -0.000003   0.0020 195.183 0.0017  90.090
164.555  S1  18   6 -0.001433  0.001480   -0.000118  0.001436   0.0021 315.922 0.0014 355.336
164.555  S1  18   7 -0.002098 -0.000094   -0.000556 -0.000342   0.0021 267.431 0.0007 238.446
164.555  S1  18   8  0.000761  0.000935    0.000954  0.000591   0.0012  39.160 0.0011  58.257
164.555  S1  18   9 -0.000409 -0.002654    0.001479 -0.001602   0.0027 188.754 0.0022 137.295
164.555  S1  18  10  0.000179  0.000664   -0.001938 -0.000491   0.0007  15.100 0.0020 255.776
164.555  S1  18  11  0.000379 -0.001472    0.001600  0.001408   0.0015 165.585 0.0021  48.663
164.555  S1  18  12  0.004787 -0.000296   -0.000435  0.002645   0.0048  93.542 0.0027 350.661
164.555  S1  18  13  0.006485  0.005236    0.001217  0.001051   0.0083  51.081 0.0016  49.213
164.555  S1  18  14  0.001337  0.001879   -0.000610  0.004563   0.0023  35.428 0.0046 352.389
164.555  S1  18  15  0.000288  0.006411    0.001557  0.004840   0.0064   2.577 0.0051  17.836
164.555  S1  18  16  0.003281  0.003893    0.000248 -0.000538   0.0051  40.121 0.0006 155.290
164.555  S1  18  17 -0.004665  0.001107   -0.003724 -0.003048   0.0048 283.347 0.0048 230.700
164.555  S1  18  18 -0.000942 -0.003308    0.000992  0.000089   0.0034 195.897 0.0010  84.851
164.555  S1  19   0 -0.000822  0.009055    0.000000  0.000000   0.0091 354.816 0.0000   0.000
164.555  S1  19   1  0.001769  0.002192    0.001951 -0.000620   0.0028  38.900 0.0020 107.628
164.555  S1  19   2 -0.002324  0.003205   -0.003087  0.003835   0.0039 324.054 0.0049 321.167
164.555  S1  19   3 -0.000550  0.000301   -0.000032  0.000347   0.0006 298.675 0.0003 354.721
164.555  S1  19   4  0.000789  0.003070    0.001285  0.002619   0.0032  14.408 0.0029  26.130
164.555  S1  19   5 -0.000148  0.001307    0.000314 -0.002171   0.0013 353.546 0.0022 171.746
164.555  S1  19   6  0.001826  0.000852    0.002574  0.002219   0.0020  64.993 0.0034  49.225
